trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-64.42316645423978,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-104.21312179778414,"{0: 14, 1: 9, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-49.246810415853375,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-157.25647314254363,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-165.85375007204132,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-81.8312196097012,"{0: 26, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-93.04623860012723,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,21,-8.589377023359871,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-71.1897256201352,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-115.5757285548758,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,13,-18.97258917964235,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,11,4.4576113960327275,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-34.26226294511915,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-91.32877640903992,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-72.87658145419302,"{0: 29, 1: 1, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-54.72283594167907,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,10,-27.666154689852643,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-86.29807528370384,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,8,8.375363848267451,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,-49.81140148138271,"{0: 31, 1: 1, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,16,16.247519896128765,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-80.03148953397324,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,20,10.149491951609095,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-52.22959385998035,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-28.546137732174927,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,2,-35.47562540376722,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,19.511703144280297,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,10,21.81324314604731,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-0.1038075927664146,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,4,-4.795724533181126,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
