trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,5,-90.46854443495106,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.998001}",30,0,-210.9607996289345,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",30,4,-84.79860477871443,"{0: 16, 1: 1, 2: 8, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.996005996001}",35,10,-51.62272364130757,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.995009990004999}",20,0,-76.12761702131901,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",20,0,-158.51746768322047,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.993020965034979}",25,0,-173.5070276222999,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.992027944069944}",20,0,-117.34222234997918,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.991035916125874}",20,0,-51.43326447664233,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",25,0,-36.884371508759656,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9890548353295384}",20,0,-113.61376409724629,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9880657804942089}",20,0,-76.25636721318911,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",25,0,-190.48028557386826,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",30,0,-236.59521747765402,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.985104546362002}",20,0,-125.37320909502148,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9841194418156399}",30,0,-135.47799550286135,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
