trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.83561864343432,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.46456361552433,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.42901284276039,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.39933090086657,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,8,-22.75276595772849,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-284.4690278177328,"{0: 9, 1: 4, 2: 5, 3: 3, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.39980637145031,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.02644121061928,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.24804830996231,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.99572866355528,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.13705298148233,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-271.33531401326474,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.18138767566386,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-249.51864976196845,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 6}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,11,-76.49067190038852,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.23921748006279,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.90124860867488,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.324909504189854,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,15,-56.497188731849064,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-228.8623188008249,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.00874645291364,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,4,-109.3811696015764,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-134.1204611851946,"{0: 13, 1: 8, 2: 7, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.198636041390884,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-159.93180397240957,"{0: 16, 1: 5, 2: 5, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.07093359315468,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-312.3946356810624,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.85536919490218,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,10,3.781402305169479,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.996376884255966,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
